Parliamentary constituency name,Parliamentary constituency code,Proportion of usual resident population 65 years and over1,State Pension claimant rate2,General good health rate3,Proportion of the population identified as non-white4,Median house price (£)5,Employment rate aged 16-646,Unemployment rate aged 16 years plus7,Families receiving child or working tax credit as a percentage of households8,Median personal income (£)9,Number of  businesses per 10000 residents10
Leeds North West,E14000780,15.8,17.4,85.2,9.5,"179,950",73.6,3,12.8,22600,278.8
Leeds West,E14000781,13.2,14.4,80,10.9,"107,500",66.2,12.6,21.6,18100,227.2
Leicester East,E14000782,13.3,13.2,78.8,68.6,"125,000",59.9,14.7,44.3,16300,261.2
Leicester South,E14000783,10.6,10.7,82.2,50.8,"130,000",58.3,10.3,32.6,19300,349.4
Leicester West,E14000784,11,11.8,80.5,27.7,"110,000",70.7,7,38.5,17300,213.3
Leigh,E14000785,16.9,19,78.6,3.2,"108,250",69.9,7.7,22.9,19100,254.2
Lewes,E14000786,25.6,27.2,80.5,3,"245,000",72.5,7.7,19.3,22600,426.8
Lewisham East,E14000787,11.2,11.9,82,44.3,"250,000",73.4,5.4,31.6,22500,244.4
Lewisham West and Penge,E14000788,10.3,10.9,83.1,38,"259,000",72.6,7.7,24,24800,293.9
Lewisham Deptford,E14000789,7.4,7.9,84.3,50.1,"265,000",79.2,4.6,20,23100,294.1
Leyton and Wanstead,E14000790,9.7,10.4,83.8,50.8,"265,000",73,5,24.6,21600,286.7
Lichfield,E14000791,22.1,23.8,81.9,2.5,"179,950",73.5,4.7,15.9,22200,414.7
Lincoln,E14000792,15.4,16.7,81,4.2,"123,500",77.7,4.4,23.3,19500,236.7
Liverpool Riverside,E14000793,10.5,11.3,80.4,20.4,"124,000",61.4,7.9,25.8,21900,410.1
Liverpool Walton,E14000794,15,16.7,73.6,4.9,"75,000",65.9,11.6,37,17200,131
Liverpool Wavertree,E14000795,14.4,15.7,78.7,15.3,"120,000",55.2,13.9,24.5,21200,194.5
Liverpool West Derby,E14000796,15.5,16.9,76.2,5.9,"97,750",63.6,11.3,32.6,19400,117
Loughborough,E14000797,15.8,17.3,83.5,13,"156,000",80.4,2.9,17.4,21700,302
Louth and Horncastle,E14000798,28.5,31.2,74.3,1.3,"136,000",68.1,8.5,25,18300,386.1
Ludlow,E14000799,26.1,28.7,80.4,1.3,"189,975",80.2,4.8,18.4,20300,575.5
Luton North,E14000800,14.2,15,82.2,45.1,"163,000",67.3,8.4,30.1,19500,189
Luton South,E14000801,10.7,11.5,83,43.3,"153,250",69.2,7.8,30.9,19100,303.9
Macclesfield,E14000802,21.5,23.4,82.5,3.2,"175,000",80.8,:,14.1,22600,484.7
Maidenhead,E14000803,18.4,19.6,86.7,13,"320,000",78.6,3.2,10.2,27500,566.2
Maidstone and The Weald,E14000804,18,19.2,83.3,6.9,"205,000",73.7,6,17.2,24100,408.3
Makerfield,E14000805,18.2,20.4,78.8,1.9,"118,000",78,7.7,21.2,18800,196.4
Maldon,E14000806,21.4,23.9,83,2.5,"225,000",76.8,4.5,13.7,23600,486.6
Manchester Central,E14000807,7.6,8,81.7,37.4,"124,000",61.6,12.5,22.2,18700,544
Manchester Gorton,E14000808,8.2,8.8,81.4,47.6,"107,500",59.8,9.4,32.4,18000,160.5
Manchester Withington,E14000809,9.9,10.8,83.9,23.4,"190,000",70.5,5.4,14,22700,246.7
Mansfield,E14000810,18,19.9,75.8,2.8,"110,000",70.6,12.8,28.7,17900,214.6
Meon Valley,E14000811,21.8,23.6,84.4,2.6,"234,500",79,2.6,13.8,23200,547.2
Meriden,E14000812,19.1,21.1,81.4,8.1,"217,000",68.8,7.1,22.7,22200,348.2
Mid Bedfordshire,E14000813,17,18.8,85.8,6.4,"227,000",75.2,6.1,16.7,24900,460.3
Mid Derbyshire,E14000814,21.8,23.7,81.9,3.4,"157,000",84.6,4.4,15,21900,276.8
Mid Dorset and North Poole,E14000815,23.5,26.1,83.2,2,"240,000",81.6,3.3,16.8,21100,385.9
Mid Norfolk,E14000816,23.9,25.7,80,2.2,"167,000",74,5.8,18.7,19700,379
